VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
7SAYGDEE4P,Thurston,Olympia,WA,98502,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,260802251,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011901
W1KCG4EB7P,Thurston,Olympia,WA,98502,2023,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,240199312,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
WVGTMPE23N,Thurston,Olympia,WA,98502,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,228628739,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
WB533CF07R,Thurston,Olympia,WA,98502,2024,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,264946069,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
1N4BZ1DP8L,Thurston,Olympia,WA,98513,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,2,144076432,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012420
1FADP5CU9D,Thurston,Olympia,WA,98502,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,254925891,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
7SAYGDEE8R,Thurston,Olympia,WA,98512,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,267060692,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011810
5YJ3E1EA5P,Thurston,Lacey,WA,98516,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,260749422,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012226
KNDC4DLC6R,Thurston,Olympia,WA,98501,2024,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,268530419,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011722
WVGTMPE21M,Thurston,Olympia,WA,98506,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,166249751,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
1G1FZ6S0XP,Thurston,Olympia,WA,98501,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,229662275,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
KNDPZDDH3R,Thurston,Rochester,WA,98579,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,35,263026872,POINT (-123.08743 46.82175),PUGET SOUND ENERGY INC,53067012720
5YJ3E1EB3N,Thurston,Olympia,WA,98501,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,269312466,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011721
JA4J24A55J,Thurston,Olympia,WA,98502,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,22,158273657,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
1C4JJXR69P,Thurston,Olympia,WA,98502,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22,267650659,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
1N4AZ0CP4E,Thurston,Olympia,WA,98502,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,35,7083947,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011901
5YJSA1E2XG,Thurston,Olympia,WA,98506,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,22,106354622,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
1G1RB6S50J,Thurston,Olympia,WA,98502,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,22,339668773,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
5YJSA1E58P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,249884736,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
